id,morning,noon,afternoon,evening
1000009650,0.87,0.962,0.96,0.451
1000283239,0.251,0.7,0.19,0.014
1000810280,0.059,0.117,0.02,0.0
1000810283,0.43,0.592,0.531,0.15
1000930345,0.379,0.559,0.487,0.072
1000930346,0.427,0.666,0.524,0.027
1001099460,0.49,0.861,0.904,0.275
1001342081,0.658,0.803,0.751,0.409
1002102105,0.28,0.366,0.22,0.0
1002103709,0.539,0.621,0.586,0.323
1002551732,0.464,0.649,0.613,0.244
1002641846,0.561,0.556,0.137,0.0
1002651579,0.876,0.97,0.957,0.631
1002993069,0.479,0.593,0.493,0.101
1003002406,,,,
1003005402,0.711,0.828,0.883,0.656
1003010966,0.936,1.0,0.993,0.277
1003010967,0.066,0.599,0.632,0.612
100305858,0.952,0.981,0.962,0.735
1003178188,0.451,0.662,0.549,0.127
1003512555,0.346,0.4,0.403,0.235
1003923154,0.0,0.421,0.018,0.07
1004003730,0.028,0.306,0.0,0.0
1004271305,0.26,0.685,0.275,0.1
1004271306,0.688,0.859,0.812,0.521
1004271307,0.497,0.929,0.911,0.609
1004281042,0.825,0.916,0.94,0.741
1004281043,0.362,0.865,0.832,0.762
1004281044,0.372,0.529,0.369,0.121
1004285596,0.674,0.908,0.666,0.317
1004309023,0.097,0.597,0.381,0.168
1004326666,0.873,0.981,0.981,0.588
1004326667,1.0,1.0,1.0,0.197
1004326668,0.685,0.734,0.96,0.927
1004326672,0.302,0.176,0.658,0.653
1004337180,0.95,0.956,0.894,0.828
1004337182,0.646,0.707,0.555,0.335
1004338484,0.933,0.872,0.77,0.61
1004338485,0.926,0.838,0.729,0.686
1004338486,0.639,0.622,0.42,0.319
1004338487,0.559,0.858,0.575,0.346
1004338488,0.905,0.6,0.453,0.505
1004338489,0.419,0.862,0.65,0.275
1004350992,0.511,0.934,0.927,0.46
1004350994,0.664,0.814,0.504,0.363
1004352557,0.695,0.891,0.845,0.552
1004352558,0.94,1.0,1.0,0.739
1004352559,0.897,0.984,0.763,0.411
1004352560,0.807,0.833,0.792,0.28
1004355821,0.443,0.443,0.443,0.18
1004440465,0.857,0.943,0.9,0.787
1004443045,0.388,0.687,0.736,0.478
1004448891,0.794,0.968,0.897,0.233
1004448892,0.747,0.942,0.895,0.339
1004448895,0.464,0.66,0.629,0.265
1004451568,1.0,0.933,0.597,0.228
1004453031,0.939,0.985,0.939,0.558
1004454954,0.712,0.737,0.735,0.502
1004454955,0.516,0.825,0.722,0.0
1004456344,0.909,0.955,0.947,0.652
1004456732,0.638,0.74,0.698,0.034
1004456733,0.754,0.855,0.836,0.453
1004456735,0.855,0.936,0.921,0.7
1004456744,0.605,0.649,0.627,0.6
1004456745,0.684,0.718,0.694,0.567
1004456920,0.742,0.783,0.723,0.547
1004456922,0.595,0.832,0.798,0.431
1004668555,0.402,0.598,0.667,0.185
1004668556,0.561,0.693,0.707,0.0
1004668557,0.5,0.83,0.754,0.319
1004668558,0.273,0.683,0.625,0.006
1004669575,0.548,0.839,0.792,0.423
1004669576,0.313,0.623,0.473,0.093
1004669974,0.325,0.498,0.541,0.286
1004669977,0.364,0.556,0.631,0.148
1004669978,0.269,0.434,0.438,0.029
1004670974,0.22,0.697,0.656,0.073
1004671825,0.507,0.609,0.606,0.123
1004672860,0.433,0.837,0.532,0.059
1004672861,0.594,0.795,0.507,0.223
1004678254,0.348,0.732,0.532,0.357
1004678268,0.439,0.65,0.513,0.196
1004678270,0.562,0.57,0.579,0.284
1004686062,0.591,0.654,0.582,0.258
1004686063,0.315,0.657,0.614,0.134
1004690463,0.565,0.678,0.468,0.103
1004690464,0.776,0.925,0.925,0.7
1004690465,0.797,0.905,0.891,0.462
1004690466,0.352,0.651,0.691,0.164
1004690468,0.952,0.962,0.936,0.804
1004694688,0.817,0.902,0.875,0.602
1004694689,0.194,0.227,0.495,0.085
1004694693,0.577,0.897,0.85,0.577
1004694694,0.516,0.659,0.482,0.458
1004694696,0.47,0.748,0.677,0.326
1004694699,0.634,0.742,0.699,0.159
1004694701,0.303,0.424,0.333,0.052
1004694703,0.528,0.458,0.321,0.179
1004694704,0.598,0.759,0.759,0.534
1004694707,0.468,0.716,0.491,0.204
1004694709,0.491,0.574,0.526,0.36
1004694710,0.337,0.468,0.353,0.234
1004694711,0.597,0.762,0.597,0.0
1004694872,0.594,0.609,0.557,0.099
1004707334,0.703,0.879,0.879,0.402
1004707342,0.172,0.488,0.528,0.153
1004707345,0.244,0.425,0.421,0.185
1004707350,0.488,0.606,0.685,0.127
1004707351,0.523,0.705,0.571,0.034
1004707353,0.379,0.559,0.651,0.318
1004707355,0.323,0.524,0.642,0.118
1004707357,0.474,0.517,0.427,0.0
1004707361,0.305,0.435,0.39,0.036
1004707367,0.226,0.442,0.568,0.121
1004708438,0.228,0.536,0.561,0.131
1004708441,0.602,0.79,0.702,0.144
1004708442,0.772,0.997,0.797,0.147
1004708443,0.751,0.916,0.747,0.305
1004708445,0.329,0.638,0.545,0.239
1004708447,0.361,0.611,0.389,0.294
1004708448,0.564,0.54,0.351,0.287
1004708451,0.224,0.464,0.497,0.071
1004708452,0.363,0.637,0.464,0.071
1004708456,0.551,0.52,0.366,0.173
1004708458,0.559,0.565,0.435,0.172
1004708460,0.659,0.689,0.644,0.545
1004708908,0.328,0.564,0.336,0.27
1004708910,0.267,0.447,0.311,0.13
1004708911,0.35,0.798,0.525,0.224
1004711509,0.31,1.0,0.94,0.667
1004711510,0.701,0.38,0.362,0.343
1004711511,0.864,0.952,0.925,0.746
1004711512,0.18,0.33,0.279,0.192
1004711513,0.914,0.877,0.839,0.79
1004711514,0.783,0.931,0.833,0.472
1004714109,0.391,0.606,0.697,0.204
1004714112,0.415,0.694,0.524,0.092
1004714113,0.553,0.665,0.778,0.341
1004714115,0.356,0.594,0.471,0.097
1004714116,0.294,0.51,0.443,0.286
1004714118,0.332,0.606,0.456,0.315
1004714120,0.506,0.813,0.778,0.447
1004714121,0.737,0.761,0.433,0.148
1004714122,0.832,0.883,0.843,0.269
1004714125,0.307,0.573,0.437,0.241
1004714126,0.536,0.792,0.63,0.365
1004714127,0.58,0.557,0.571,0.127
1004714131,0.53,0.794,0.872,0.324
1004714133,0.632,0.637,0.532,0.181
1004714134,0.541,0.459,0.44,0.0
1004714136,0.476,0.72,0.565,0.188
1004714137,0.516,0.609,0.373,0.025
1004714140,0.508,0.72,0.619,0.051
1004714146,0.455,0.844,0.3,0.148
1004716670,0.453,0.601,0.682,0.507
1004716671,0.449,0.793,0.87,0.688
1004716672,0.424,0.556,0.492,0.165
1004716674,0.557,0.585,0.491,0.445
1004716678,0.244,0.441,0.22,0.035
1004716680,0.562,0.609,0.519,0.455
1004716681,0.335,0.521,0.381,0.086
1004716683,0.511,0.557,0.492,0.101
1004716685,0.606,0.601,0.517,0.369
1004716687,0.381,0.467,0.459,0.283
1004716688,0.659,0.751,0.689,0.438
1004716689,0.438,0.704,0.349,0.204
1004716690,0.643,0.896,0.689,0.336
1004716691,0.583,0.779,0.688,0.09
1004716694,0.518,0.676,0.504,0.035
1004716697,0.425,0.474,0.351,0.118
1004716698,0.327,0.484,0.364,0.309
1004786171,1.0,1.0,1.0,0.926
1004788419,1.0,0.977,0.954,0.84
1004789112,0.396,0.704,0.491,0.303
1004926760,0.205,0.442,0.397,0.0
1004926765,0.004,0.791,0.734,0.152
1004926769,0.404,0.525,0.475,0.045
1004926770,0.503,0.653,0.633,0.265
1004926772,0.387,0.609,0.692,0.015
1004926774,0.571,0.66,0.615,0.038
1004926776,0.22,0.403,0.466,0.047
1004926778,0.275,0.466,0.518,0.067
1004926780,0.509,0.632,0.605,0.093
1004926783,0.209,0.437,0.471,0.004
1004926785,0.152,0.373,0.395,0.145
1004926787,0.199,0.416,0.45,0.039
1004926788,0.621,0.67,0.516,0.214
1004926789,0.477,0.789,0.621,0.239
1004926793,0.476,0.685,0.605,0.145
1004926795,0.454,0.683,0.572,0.125
1004926796,0.57,0.734,0.661,0.118
1004926797,0.273,0.437,0.276,0.193
1004926799,0.364,0.513,0.326,0.064
1004926802,0.533,0.645,0.459,0.174
1004926803,0.551,0.786,0.704,0.24
1004926805,0.252,0.483,0.282,0.008
1004926807,0.164,0.545,0.339,0.0
1004926808,0.326,0.631,0.657,0.14
1004926810,0.345,0.6,0.612,0.122
1004926816,0.297,0.547,0.623,0.055
1004928625,0.311,0.622,0.471,0.009
1004928626,0.243,0.659,0.562,0.018
1004928629,0.451,0.58,0.632,0.461
1004928633,0.096,0.39,0.428,0.086
1004928635,0.23,0.545,0.581,0.34
1004928638,0.255,0.455,0.438,0.106
1004928642,0.686,0.827,0.8,0.458
1004928645,0.878,0.904,0.854,0.075
1004928646,0.419,0.658,0.441,0.121
1004932175,0.988,1.0,0.809,0.385
